Dataset,Weight,Motion_Cost,Obs_Cost,Unweighted_Sum,Weighted_Cost
1,0.1,2.457180,8.164355,10.621536,7.593638
1,0.3,0.831796,8.515976,9.347772,6.210722
1,0.5,0.365622,8.814355,9.179977,4.589989
1,0.7,0.155972,9.124925,9.280897,2.846658
1,0.9,0.042752,9.605325,9.648077,0.999009
2,0.1,2.092171,10.876087,12.968258,9.997696
2,0.3,0.703455,11.174328,11.877782,8.033066
2,0.5,0.317584,11.421263,11.738847,5.869423
2,0.7,0.140747,11.683771,11.824518,3.603654
2,0.9,0.040777,12.109687,12.150464,1.247668
3,0.1,2.768600,13.352648,16.121248,12.294244
3,0.3,1.405409,13.664803,15.070213,9.986985
3,0.5,0.807494,14.056106,14.863600,7.431800
3,0.7,0.448681,14.598362,15.047043,4.693585
3,0.9,0.181591,15.792454,15.974045,1.742677
4,0.1,4.775509,36.019205,40.794714,32.894835
4,0.3,1.937075,36.650413,38.587488,26.236412
4,0.5,0.952243,37.285812,38.238055,19.119028
4,0.7,0.457617,38.024283,38.481899,11.727616
4,0.9,0.142725,39.395881,39.538607,4.068041
5,0.1,4.620890,29.220071,33.840960,26.760152
5,0.3,2.425597,29.719878,32.145475,21.531594
5,0.5,1.445113,30.363877,31.808990,15.904495
5,0.7,0.802374,31.341307,32.143681,9.964054
5,0.9,0.277105,33.684251,33.961357,3.617820
6,0.1,4.020821,22.504287,26.525108,20.655940
6,0.3,1.798635,22.997228,24.795864,16.637650
6,0.5,0.993795,23.520324,24.514119,12.257060
6,0.7,0.530703,24.219999,24.750702,7.637492
6,0.9,0.177632,25.788865,25.966497,2.738755
7,0.1,6.638571,43.133732,49.772303,39.484216
7,0.3,2.817838,43.974928,46.792766,31.627801
7,0.5,1.498517,44.830818,46.329336,23.164668
7,0.7,0.758850,45.945542,46.704392,14.314858
7,0.9,0.231841,48.254508,48.486348,5.034107
8,0.1,2.326884,19.300295,21.627179,17.602954
8,0.3,1.019216,19.589769,20.608985,14.018603
8,0.5,0.550288,19.894838,20.445127,10.222563
8,0.7,0.281189,20.300926,20.582114,6.287110
8,0.9,0.091694,21.128771,21.220465,2.195402
9,0.1,2.200559,18.284525,20.485084,16.676129
9,0.3,0.948269,18.561279,19.509548,13.277376
9,0.5,0.507653,18.846584,19.354237,9.677118
9,0.7,0.269604,19.203668,19.473272,5.949823
9,0.9,0.105026,19.928195,20.033221,2.087343
